Original_Entry_ID,pXC50,SMILES
CHEMBL497963,5.8,N=1C=2C=CC=C(OCCN3CCC(CC3)CC=4C=CC=C(C4)N=S(C)(O)=O)C2C=CC1C
CHEMBL202565,5.39,C1CN(CC(CCC)C(=O)C=2C=CC(=CC2)C)CC1
CHEMBL311469,5.49,C=1C(NC(=O)C)=CC=C2C1CC3=CC=CC=C23
CHEMBL2037432,6.04,N1(CCC(CC1)(O)C=2C=CC(=CC2)Cl)CCCCC=3SC=4C(N3)=CC=CC4
45279667,7.0315199999999995,ClC1=CC=C(C=2N(C(=C(C(=O)NCCCN3CCN(CC3)C=4C(=C(C=CC4)C)C)C2)C)CC)C=C1
CHEMBL2430688,5.03,C=1(C(=CC=C(C1)C2C(C3=C(Cl)C=CC=C3)C(NC2)=O)Cl)Cl
CHEMBL286991,7.79,N1(CCN(CC1)CCOC(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F)C/C=C/C=4C=CC=CC4
CHEMBL556299,7.5,C=1(C=C2C(=CC1)NC=C2)C(C3=CC=CC=C3)CCNC
CHEMBL185025,6.4,C1=2C(O[C@]3(C1=CC=C4C2OCO4)CC[C@H](N5CCC(CC6=C(C=CC(=C6)OC)F)CC5)CC3)=O
44393519,6.39794,FC1=C(CC2CCN(C3CCC4(OC(=O)C=5C4=CC=C6OCOC56)CC3)CC2)C=C(OC)C=C1
44393445,7.086189999999999,BrC1=C(CC2CCN(C3CCC4(OC(=O)C=5C4=CC=C6OCOC56)CC3)CC2)C=C(F)C=C1
CHEMBL360790,7.09,C1=2C(O[C@]3(C1=CC=C4C2OCO4)CC[C@H](N5CCC(CC6=C(C=CC(=C6)F)Br)CC5)CC3)=O
44456110,7.251810000000001,ClC=1C=C([C@@H]2[C@@H](C3N(C(C2)CC3)C)COC(=O)CCCCC(OC[C@@H]4C5N(C(C[C@@H]4C6=CC(Cl)=C(Cl)C=C6)CC5)C)=O)C=CC1Cl
CHEMBL596796,9.0,C1NC[C@@H]2[C@]1([C@H]2C3=NC(=CO3)C)C4=CC(=C(C=C4)Cl)Cl
